product_id,product_name,brand,category,unit_price
KDP_SKU_1059,Mott's Coffee Makers Pack 24ct,Mott's,Coffee Makers,13.18
KDP_SKU_1060,Mott's Coffee Makers Pack 36ct,Mott's,Coffee Makers,22.69
KDP_SKU_1061,Green Mountain Coffee Pods Pack 12ct,Green Mountain,Coffee Pods,49.53
KDP_SKU_1062,Green Mountain Coffee Pods Pack 24ct,Green Mountain,Coffee Pods,34.15
KDP_SKU_1063,Green Mountain Coffee Pods Pack 36ct,Green Mountain,Coffee Pods,30.5
KDP_SKU_1064,Green Mountain Carbonated Soft Drinks Pack 12ct,Green Mountain,Carbonated Soft Drinks,36.11
KDP_SKU_1065,Green Mountain Carbonated Soft Drinks Pack 24ct,Green Mountain,Carbonated Soft Drinks,43.08
KDP_SKU_1066,Green Mountain Carbonated Soft Drinks Pack 36ct,Green Mountain,Carbonated Soft Drinks,40.13
KDP_SKU_1067,Green Mountain Juice & Hydration Pack 12ct,Green Mountain,Juice & Hydration,16.07
KDP_SKU_1068,Green Mountain Juice & Hydration Pack 24ct,Green Mountain,Juice & Hydration,7.4
KDP_SKU_1069,Green Mountain Juice & Hydration Pack 36ct,Green Mountain,Juice & Hydration,19.87
KDP_SKU_1070,Green Mountain Coffee Makers Pack 12ct,Green Mountain,Coffee Makers,17.77
KDP_SKU_1071,Green Mountain Coffee Makers Pack 24ct,Green Mountain,Coffee Makers,15.27
KDP_SKU_1072,Green Mountain Coffee Makers Pack 36ct,Green Mountain,Coffee Makers,47.48
KDP_SKU_1073,7UP Coffee Pods Pack 12ct,7UP,Coffee Pods,44.55
KDP_SKU_1074,7UP Coffee Pods Pack 24ct,7UP,Coffee Pods,19.84
KDP_SKU_1075,7UP Coffee Pods Pack 36ct,7UP,Coffee Pods,34.83
KDP_SKU_1076,7UP Carbonated Soft Drinks Pack 12ct,7UP,Carbonated Soft Drinks,23.4
KDP_SKU_1077,7UP Carbonated Soft Drinks Pack 24ct,7UP,Carbonated Soft Drinks,46.23
KDP_SKU_1078,7UP Carbonated Soft Drinks Pack 36ct,7UP,Carbonated Soft Drinks,26.18
KDP_SKU_1079,7UP Juice & Hydration Pack 12ct,7UP,Juice & Hydration,17.64
KDP_SKU_1080,7UP Juice & Hydration Pack 24ct,7UP,Juice & Hydration,16.84
KDP_SKU_1081,7UP Juice & Hydration Pack 36ct,7UP,Juice & Hydration,30.69
KDP_SKU_1082,7UP Coffee Makers Pack 12ct,7UP,Coffee Makers,17.55
KDP_SKU_1083,7UP Coffee Makers Pack 24ct,7UP,Coffee Makers,31.71
KDP_SKU_1084,7UP Coffee Makers Pack 36ct,7UP,Coffee Makers,45.49
