event_id,event_name,timestamp,session_id,user_pseudo_id,device_type,experiment_variant,query_string,results_count,zero_results_flag,latency_ms,product_id,rank_position,cart_price
EVT_50b3b49b,search_result_clicked,2026-07-01 19:35:12,SES_802163fffb,USR_90911,desktop,Control_Keyword,drpepr zero,23,False,,KDP_SKU_1025,7.0,
EVT_0a572d39,search_query_submitted,2026-07-01 20:02:00,SES_b3e04583a3,USR_29420,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,44,False,179.0,,,
EVT_c32f48dc,search_result_clicked,2026-07-01 20:02:13,SES_b3e04583a3,USR_29420,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,44,False,,KDP_SKU_1082,3.0,
EVT_d6bc780a,search_query_submitted,2026-07-01 20:10:00,SES_8feae27753,USR_81529,tablet,Variant_B_AI_Semantic,keurig single serve machine,27,False,175.0,,,
EVT_fc444407,search_result_clicked,2026-07-01 20:10:03,SES_8feae27753,USR_81529,tablet,Variant_B_AI_Semantic,keurig single serve machine,27,False,,KDP_SKU_1016,1.0,
EVT_df378615,search_to_cart_added,2026-07-01 20:10:46,SES_8feae27753,USR_81529,tablet,Variant_B_AI_Semantic,keurig single serve machine,27,False,,KDP_SKU_1016,1.0,29.97
EVT_46a2bcf4,search_query_submitted,2026-07-01 21:03:00,SES_355719fff0,USR_82105,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,16,False,111.0,,,
EVT_7e7ad9e3,search_result_clicked,2026-07-01 21:03:08,SES_355719fff0,USR_82105,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,16,False,,KDP_SKU_1080,2.0,
EVT_4c3f87ca,search_query_submitted,2026-07-01 23:03:00,SES_b2a7b0bf87,USR_99514,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,9,False,97.0,,,
EVT_fd3e9d15,search_result_clicked,2026-07-01 23:03:15,SES_b2a7b0bf87,USR_99514,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,9,False,,KDP_SKU_1010,1.0,
EVT_a8ef0202,search_to_cart_added,2026-07-01 23:03:38,SES_b2a7b0bf87,USR_99514,mobile,Variant_B_AI_Semantic,vanilla flavored coffee,9,False,,KDP_SKU_1010,1.0,7.3
EVT_8098ebc4,search_query_submitted,2026-07-02 02:44:00,SES_bfd6e9ba40,USR_38748,desktop,Control_Keyword,snapple peach tea diet,2,False,284.0,,,
EVT_cfa64c98,search_result_clicked,2026-07-02 02:44:04,SES_bfd6e9ba40,USR_38748,desktop,Control_Keyword,snapple peach tea diet,2,False,,KDP_SKU_1039,3.0,
EVT_fd3acce6,search_to_cart_added,2026-07-02 02:44:31,SES_bfd6e9ba40,USR_38748,desktop,Control_Keyword,snapple peach tea diet,2,False,,KDP_SKU_1039,3.0,43.91
EVT_083a3b29,search_query_submitted,2026-07-02 02:50:00,SES_d680488b6e,USR_63271,desktop,Variant_B_AI_Semantic,caffeine free organic energy drink,39,False,194.0,,,
EVT_9c627ee4,search_result_clicked,2026-07-02 02:50:07,SES_d680488b6e,USR_63271,desktop,Variant_B_AI_Semantic,caffeine free organic energy drink,39,False,,KDP_SKU_1048,1.0,
EVT_7ddcacae,search_query_submitted,2026-07-02 02:59:00,SES_21132f19f5,USR_74003,mobile,Control_Keyword,vanilla flavored coffee,3,False,599.0,,,
EVT_5bf78547,search_query_submitted,2026-07-02 09:09:00,SES_500937022b,USR_43357,desktop,Control_Keyword,drpepr zero,2,False,454.0,,,
EVT_204e3913,search_query_submitted,2026-07-02 09:16:00,SES_03641f7d3c,USR_44141,mobile,Control_Keyword,vanilla flavored coffee,6,False,501.0,,,
EVT_2084eee0,search_query_submitted,2026-07-02 09:18:00,SES_7df628807a,USR_30885,tablet,Variant_B_AI_Semantic,caffeine free organic energy drink,27,False,207.0,,,
EVT_43d04281,search_result_clicked,2026-07-02 09:18:06,SES_7df628807a,USR_30885,tablet,Variant_B_AI_Semantic,caffeine free organic energy drink,27,False,,KDP_SKU_1022,1.0,
EVT_2284a031,search_query_submitted,2026-07-02 09:56:00,SES_bb1419ed96,USR_23621,tablet,Variant_B_AI_Semantic,cherry vanilla soda,12,False,119.0,,,
EVT_71222173,search_result_clicked,2026-07-02 09:56:04,SES_bb1419ed96,USR_23621,tablet,Variant_B_AI_Semantic,cherry vanilla soda,12,False,,KDP_SKU_1045,1.0,
EVT_daad1b4b,search_to_cart_added,2026-07-02 09:56:25,SES_bb1419ed96,USR_23621,tablet,Variant_B_AI_Semantic,cherry vanilla soda,12,False,,KDP_SKU_1045,1.0,9.5
EVT_52dddd1f,search_query_submitted,2026-07-02 10:12:00,SES_f9e6c00b06,USR_48894,mobile,Variant_B_AI_Semantic,keurig single serve machine,8,False,137.0,,,
EVT_1dce7ec9,search_result_clicked,2026-07-02 10:12:13,SES_f9e6c00b06,USR_48894,mobile,Variant_B_AI_Semantic,keurig single serve machine,8,False,,KDP_SKU_1044,2.0,
EVT_655e04f1,search_to_cart_added,2026-07-02 10:12:42,SES_f9e6c00b06,USR_48894,mobile,Variant_B_AI_Semantic,keurig single serve machine,8,False,,KDP_SKU_1044,2.0,18.72
EVT_e7e1ce0a,search_query_submitted,2026-07-02 10:39:00,SES_881171688d,USR_72886,desktop,Control_Keyword,caffeine free organic energy drink,25,False,478.0,,,
EVT_c8898025,search_result_clicked,2026-07-02 10:39:14,SES_881171688d,USR_72886,desktop,Control_Keyword,caffeine free organic energy drink,25,False,,KDP_SKU_1074,3.0,
EVT_e7eac559,search_query_submitted,2026-07-02 11:37:00,SES_efad23500e,USR_13646,tablet,Control_Keyword,vanilla flavored coffee,20,False,375.0,,,
EVT_307b4e68,search_result_clicked,2026-07-02 11:37:13,SES_efad23500e,USR_13646,tablet,Control_Keyword,vanilla flavored coffee,20,False,,KDP_SKU_1065,8.0,
EVT_2f97860b,search_query_submitted,2026-07-02 11:42:00,SES_3455db0e25,USR_92941,desktop,Variant_B_AI_Semantic,keurig single serve machine,10,False,129.0,,,
EVT_5a0faf02,search_result_clicked,2026-07-02 11:42:09,SES_3455db0e25,USR_92941,desktop,Variant_B_AI_Semantic,keurig single serve machine,10,False,,KDP_SKU_1054,2.0,
EVT_742ee7ed,search_to_cart_added,2026-07-02 11:42:48,SES_3455db0e25,USR_92941,desktop,Variant_B_AI_Semantic,keurig single serve machine,10,False,,KDP_SKU_1054,2.0,47.2
EVT_adb41f7d,search_query_submitted,2026-07-02 12:02:00,SES_fb3e2f4e16,USR_25012,desktop,Control_Keyword,dr pepper zero sugar 12oz,5,False,476.0,,,
EVT_94a7772b,search_query_submitted,2026-07-02 12:18:00,SES_cbfc0a6440,USR_31501,desktop,Variant_B_AI_Semantic,snapple peach tea diet,35,False,177.0,,,
EVT_248a613c,search_result_clicked,2026-07-02 12:18:04,SES_cbfc0a6440,USR_31501,desktop,Variant_B_AI_Semantic,snapple peach tea diet,35,False,,KDP_SKU_1073,2.0,
EVT_873b6a62,search_query_submitted,2026-07-02 13:27:00,SES_76cde9ca22,USR_62994,mobile,Control_Keyword,keurig single serve machine,21,False,453.0,,,
EVT_abe7677e,search_query_submitted,2026-07-02 13:40:00,SES_3aef7842e7,USR_63382,desktop,Control_Keyword,drpepr zero,12,False,272.0,,,
EVT_fdbf0ed4,search_result_clicked,2026-07-02 13:40:08,SES_3aef7842e7,USR_63382,desktop,Control_Keyword,drpepr zero,12,False,,KDP_SKU_1050,2.0,
EVT_d83ac4da,search_to_cart_added,2026-07-02 13:40:33,SES_3aef7842e7,USR_63382,desktop,Control_Keyword,drpepr zero,12,False,,KDP_SKU_1050,2.0,22.04
EVT_9aafea92,search_query_submitted,2026-07-02 14:08:00,SES_1d09f792dd,USR_46585,tablet,Variant_B_AI_Semantic,cherry vanilla soda,42,False,164.0,,,
EVT_1387f5a7,search_query_submitted,2026-07-02 14:13:00,SES_351168865d,USR_71391,mobile,Variant_B_AI_Semantic,cherry vanilla soda,34,False,198.0,,,
EVT_9869b0ce,search_result_clicked,2026-07-02 14:13:04,SES_351168865d,USR_71391,mobile,Variant_B_AI_Semantic,cherry vanilla soda,34,False,,KDP_SKU_1009,2.0,
EVT_d4c83278,search_query_submitted,2026-07-02 14:31:00,SES_b1c65a585e,USR_42728,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,0,True,187.0,,,
EVT_bb32dc69,search_query_submitted,2026-07-02 15:42:00,SES_acf6dc17e9,USR_89069,mobile,Control_Keyword,espresso pods hazelnut,0,True,428.0,,,
EVT_c983b3e7,search_query_submitted,2026-07-02 15:59:00,SES_69ce099bfe,USR_69582,tablet,Variant_B_AI_Semantic,vanilla flavored coffee,31,False,106.0,,,
EVT_5e3e79bc,search_query_submitted,2026-07-02 17:53:00,SES_7c530cb701,ANONYMOUS_GUEST,desktop,Control_Keyword,vanilla flavored coffee,22,False,200.0,,,
EVT_fa4a27c5,search_result_clicked,2026-07-02 17:53:12,SES_7c530cb701,ANONYMOUS_GUEST,desktop,Control_Keyword,vanilla flavored coffee,22,False,,KDP_SKU_1043,1.0,
EVT_15009937,search_to_cart_added,2026-07-02 17:53:25,SES_7c530cb701,ANONYMOUS_GUEST,desktop,Control_Keyword,vanilla flavored coffee,22,False,,KDP_SKU_1043,1.0,16.02
EVT_b7f71c09,search_query_submitted,2026-07-02 18:09:00,SES_d28b43c8b8,USR_78576,desktop,Control_Keyword,keurig single serve machine,7,False,627.0,,,
EVT_928bda96,search_result_clicked,2026-07-02 18:09:03,SES_d28b43c8b8,USR_78576,desktop,Control_Keyword,keurig single serve machine,7,False,,KDP_SKU_1076,2.0,
EVT_0fefd735,search_query_submitted,2026-07-02 18:18:00,SES_b82c9dfc8b,USR_38864,tablet,Variant_B_AI_Semantic,dark roast k-cup,22,False,97.0,,,
EVT_a3fd79fc,search_result_clicked,2026-07-02 18:18:07,SES_b82c9dfc8b,USR_38864,tablet,Variant_B_AI_Semantic,dark roast k-cup,22,False,,KDP_SKU_1015,1.0,
EVT_41adcda2,search_query_submitted,2026-07-02 18:32:00,SES_863fe94072,USR_89388,tablet,Variant_B_AI_Semantic,vanilla flavored coffee,27,False,160.0,,,
EVT_a93e05d8,search_result_clicked,2026-07-02 18:32:08,SES_863fe94072,USR_89388,tablet,Variant_B_AI_Semantic,vanilla flavored coffee,27,False,,KDP_SKU_1018,1.0,
EVT_e25a94ab,search_query_submitted,2026-07-02 18:39:00,SES_234c51cb9a,USR_50838,mobile,Control_Keyword,snapple peach tea diet,16,False,536.0,,,
EVT_a93ba1a1,search_query_submitted,2026-07-02 20:25:00,SES_33ba20b164,USR_22539,tablet,Control_Keyword,vanilla flavored coffee,4,False,211.0,,,
EVT_f2d5be22,search_query_submitted,2026-07-02 20:36:00,SES_271c7b0bcb,USR_11653,tablet,Variant_B_AI_Semantic,espresso pods hazelnut,36,False,143.0,,,
EVT_2a3643da,search_query_submitted,2026-07-02 20:42:00,SES_4adb9f9a25,USR_67536,tablet,Variant_B_AI_Semantic,kcup pods discount,26,False,129.0,,,
EVT_3f721ecb,search_result_clicked,2026-07-02 20:42:06,SES_4adb9f9a25,USR_67536,tablet,Variant_B_AI_Semantic,kcup pods discount,26,False,,KDP_SKU_1027,3.0,
EVT_2636e3f0,search_query_submitted,2026-07-02 21:37:00,SES_c8688da5ac,USR_11469,desktop,Control_Keyword,caffeine free organic energy drink,0,True,290.0,,,
EVT_bb2f817b,search_query_submitted,2026-07-03 00:02:00,SES_0e7072ac43,USR_92788,tablet,Variant_B_AI_Semantic,drpepr zero,33,False,134.0,,,
EVT_8bba1af2,search_result_clicked,2026-07-03 00:02:10,SES_0e7072ac43,USR_92788,tablet,Variant_B_AI_Semantic,drpepr zero,33,False,,KDP_SKU_1049,3.0,
EVT_49c72e72,search_query_submitted,2026-07-03 00:49:00,SES_c5f8eed60d,USR_85527,desktop,Control_Keyword,drpepr zero,22,False,333.0,,,
EVT_2ca77ebd,search_query_submitted,2026-07-03 00:50:00,SES_321dd4e94d,USR_38329,desktop,Control_Keyword,vanilla flavored coffee,13,False,581.0,,,
EVT_8c4eb03b,search_query_submitted,2026-07-03 01:15:00,SES_b67ea06d13,USR_70542,tablet,Variant_B_AI_Semantic,cherry vanilla soda,20,False,181.0,,,
EVT_071bfd6f,search_query_submitted,2026-07-03 03:02:00,SES_5b7f06feb2,USR_78569,mobile,Control_Keyword,cherry vanilla soda,11,False,262.0,,,
EVT_9cde4982,search_query_submitted,2026-07-03 04:23:00,SES_33f268cb74,ANONYMOUS_GUEST,tablet,Control_Keyword,kcup pods discount,5,False,373.0,,,
EVT_d7804cdb,search_query_submitted,2026-07-03 04:24:00,SES_e9565436de,USR_58374,desktop,Control_Keyword,drpepr zero,10,False,450.0,,,
EVT_3be3e2df,search_query_submitted,2026-07-03 05:56:00,SES_7a2f124441,USR_59767,mobile,Control_Keyword,snapple peach tea diet,6,False,328.0,,,
EVT_5d08d8b5,search_query_submitted,2026-07-03 06:07:00,SES_92a0fde1bc,USR_27947,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,43,False,205.0,,,
EVT_33e522fe,search_query_submitted,2026-07-03 06:07:00,SES_d1bd4910c9,USR_43868,mobile,Control_Keyword,kcup pods discount,7,False,509.0,,,
EVT_4cb84315,search_result_clicked,2026-07-03 06:07:03,SES_d1bd4910c9,USR_43868,mobile,Control_Keyword,kcup pods discount,7,False,,KDP_SKU_1024,1.0,
EVT_ba89bfab,search_result_clicked,2026-07-03 06:07:07,SES_92a0fde1bc,USR_27947,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,43,False,,KDP_SKU_1075,3.0,
EVT_427cf303,search_query_submitted,2026-07-03 06:12:00,SES_c8214801d5,USR_75570,tablet,Control_Keyword,snapple peach tea diet,4,False,383.0,,,
EVT_3fcfcefd,search_result_clicked,2026-07-03 06:12:08,SES_c8214801d5,USR_75570,tablet,Control_Keyword,snapple peach tea diet,4,False,,KDP_SKU_1051,2.0,
EVT_2370f232,search_query_submitted,2026-07-03 07:03:00,SES_af487f7f14,USR_80458,tablet,Control_Keyword,dark roast k-cup,10,False,632.0,,,
EVT_73727edb,search_query_submitted,2026-07-03 07:05:00,SES_c990b9e324,USR_99816,mobile,Control_Keyword,caffeine free organic energy drink,0,True,523.0,,,
EVT_623fa7a5,search_query_submitted,2026-07-03 07:07:00,SES_82d8a18014,USR_37617,tablet,Control_Keyword,cherry vanilla soda,2,False,304.0,,,
EVT_3497b361,search_query_submitted,2026-07-03 07:21:00,SES_df9d976455,USR_57453,desktop,Control_Keyword,caffeine free organic energy drink,0,True,494.0,,,
EVT_a6bbcc20,search_query_submitted,2026-07-03 07:51:00,SES_9f0364c9af,USR_49515,desktop,Control_Keyword,kcup pods discount,25,False,258.0,,,
EVT_4d309519,search_result_clicked,2026-07-03 07:51:15,SES_9f0364c9af,USR_49515,desktop,Control_Keyword,kcup pods discount,25,False,,KDP_SKU_1062,5.0,
EVT_876452c5,search_query_submitted,2026-07-03 07:53:00,SES_887a18fd53,USR_96447,tablet,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,8,False,164.0,,,
EVT_d3a41e7f,search_query_submitted,2026-07-03 07:57:00,SES_925517540c,USR_77065,desktop,Control_Keyword,cherry vanilla soda,19,False,374.0,,,
EVT_e76393ad,search_query_submitted,2026-07-03 07:59:00,SES_1e0782ace3,ANONYMOUS_GUEST,desktop,Variant_B_AI_Semantic,vanilla flavored coffee,25,False,174.0,,,
EVT_4ffc36fe,search_result_clicked,2026-07-03 07:59:10,SES_1e0782ace3,ANONYMOUS_GUEST,desktop,Variant_B_AI_Semantic,vanilla flavored coffee,25,False,,KDP_SKU_1042,3.0,
EVT_3863ee9a,search_query_submitted,2026-07-03 08:19:00,SES_ffa4e3f7c9,USR_68515,tablet,Control_Keyword,dark roast k-cup,9,False,559.0,,,
EVT_079e335f,search_result_clicked,2026-07-03 08:19:15,SES_ffa4e3f7c9,USR_68515,tablet,Control_Keyword,dark roast k-cup,9,False,,KDP_SKU_1055,4.0,
EVT_f0e6e153,search_query_submitted,2026-07-03 09:01:00,SES_0df2dc62a8,USR_32184,tablet,Control_Keyword,caffeine free organic energy drink,0,True,405.0,,,
EVT_3ea18929,search_query_submitted,2026-07-03 09:31:00,SES_c7933650e3,USR_70852,mobile,Control_Keyword,cherry vanilla soda,5,False,251.0,,,
EVT_5c020d89,search_result_clicked,2026-07-03 09:31:04,SES_c7933650e3,USR_70852,mobile,Control_Keyword,cherry vanilla soda,5,False,,KDP_SKU_1005,8.0,
EVT_fb7e8133,search_to_cart_added,2026-07-03 09:31:43,SES_c7933650e3,USR_70852,mobile,Control_Keyword,cherry vanilla soda,5,False,,KDP_SKU_1005,8.0,38.39
EVT_06d07cd1,search_query_submitted,2026-07-03 09:42:00,SES_66d2fa87f1,USR_56439,tablet,Control_Keyword,drpepr zero,24,False,563.0,,,
EVT_4a6fee6c,search_query_submitted,2026-07-03 10:25:00,SES_687fe794a0,USR_32492,tablet,Variant_B_AI_Semantic,dark roast k-cup,23,False,156.0,,,
EVT_9607e165,search_result_clicked,2026-07-03 10:25:13,SES_687fe794a0,USR_32492,tablet,Variant_B_AI_Semantic,dark roast k-cup,23,False,,KDP_SKU_1044,2.0,
EVT_71f9d74f,search_query_submitted,2026-07-03 11:27:00,SES_357a41e1de,USR_38746,desktop,Control_Keyword,kcup pods discount,17,False,226.0,,,
EVT_1e96d5a9,search_result_clicked,2026-07-03 11:27:15,SES_357a41e1de,USR_38746,desktop,Control_Keyword,kcup pods discount,17,False,,KDP_SKU_1074,3.0,
EVT_570adcc9,search_query_submitted,2026-07-03 12:08:00,SES_c9147ccbbe,USR_17857,mobile,Control_Keyword,kcup pods discount,13,False,243.0,,,
EVT_585e3619,search_query_submitted,2026-07-03 12:59:00,SES_89fb4c0f49,USR_94123,tablet,Control_Keyword,dark roast k-cup,4,False,598.0,,,
EVT_6822bd17,search_result_clicked,2026-07-03 12:59:04,SES_89fb4c0f49,USR_94123,tablet,Control_Keyword,dark roast k-cup,4,False,,KDP_SKU_1056,4.0,
EVT_1106c036,search_query_submitted,2026-07-03 14:12:00,SES_bc410d2abb,USR_45669,mobile,Control_Keyword,espresso pods hazelnut,0,True,257.0,,,
EVT_023e2ed2,search_query_submitted,2026-07-03 15:26:00,SES_ea24224a24,USR_45601,tablet,Variant_B_AI_Semantic,drpepr zero,23,False,142.0,,,
EVT_b6ad118e,search_result_clicked,2026-07-03 15:26:06,SES_ea24224a24,USR_45601,tablet,Variant_B_AI_Semantic,drpepr zero,23,False,,KDP_SKU_1004,3.0,
EVT_fa22e11b,search_to_cart_added,2026-07-03 15:26:37,SES_ea24224a24,USR_45601,tablet,Variant_B_AI_Semantic,drpepr zero,23,False,,KDP_SKU_1004,3.0,15.81
EVT_6f5208a6,search_query_submitted,2026-07-03 16:02:00,SES_6186c8f20f,USR_96445,desktop,Control_Keyword,keurig single serve machine,7,False,573.0,,,
EVT_c9b62eea,search_result_clicked,2026-07-03 16:02:07,SES_6186c8f20f,USR_96445,desktop,Control_Keyword,keurig single serve machine,7,False,,KDP_SKU_1022,8.0,
EVT_5a43c164,search_query_submitted,2026-07-03 16:05:00,SES_5017f88b52,USR_92478,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,45,False,138.0,,,
EVT_ddbfae16,search_result_clicked,2026-07-03 16:05:14,SES_5017f88b52,USR_92478,mobile,Variant_B_AI_Semantic,dr pepper zero sugar 12oz,45,False,,KDP_SKU_1072,3.0,
EVT_ae112087,search_query_submitted,2026-07-03 16:07:00,SES_594fb33353,USR_11607,mobile,Control_Keyword,caffeine free organic energy drink,0,True,274.0,,,
EVT_8985be11,search_query_submitted,2026-07-03 16:16:00,SES_ba8698f4f4,USR_15123,mobile,Control_Keyword,keurig single serve machine,10,False,627.0,,,
EVT_29441787,search_result_clicked,2026-07-03 16:16:11,SES_ba8698f4f4,USR_15123,mobile,Control_Keyword,keurig single serve machine,10,False,,KDP_SKU_1037,4.0,
EVT_0e558c3e,search_to_cart_added,2026-07-03 16:16:38,SES_ba8698f4f4,USR_15123,mobile,Control_Keyword,keurig single serve machine,10,False,,KDP_SKU_1037,4.0,42.48
EVT_78016bc1,search_query_submitted,2026-07-03 17:24:00,SES_a4251cfa2e,USR_59375,mobile,Variant_B_AI_Semantic,keurig single serve machine,21,False,137.0,,,
EVT_0b0269cb,search_query_submitted,2026-07-03 17:31:00,SES_15400db199,USR_20208,desktop,Control_Keyword,kcup pods discount,23,False,641.0,,,
EVT_606ffd8d,search_query_submitted,2026-07-03 18:02:00,SES_1784efd1f3,USR_66828,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,22,False,109.0,,,
EVT_dae80914,search_result_clicked,2026-07-03 18:02:04,SES_1784efd1f3,USR_66828,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,22,False,,KDP_SKU_1005,1.0,
EVT_30b01a16,search_query_submitted,2026-07-03 18:06:00,SES_9dd341f520,USR_48630,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,45,False,111.0,,,
EVT_0f3dc7d7,search_result_clicked,2026-07-03 18:06:13,SES_9dd341f520,USR_48630,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,45,False,,KDP_SKU_1051,2.0,
EVT_87bdb83a,search_query_submitted,2026-07-03 18:33:00,SES_68350842fc,USR_24953,mobile,Control_Keyword,caffeine free organic energy drink,0,True,502.0,,,
EVT_418eab59,search_query_submitted,2026-07-03 18:45:00,SES_fd6901c734,ANONYMOUS_GUEST,tablet,Variant_B_AI_Semantic,dark roast k-cup,14,False,178.0,,,
EVT_404d6bf8,search_result_clicked,2026-07-03 18:45:12,SES_fd6901c734,ANONYMOUS_GUEST,tablet,Variant_B_AI_Semantic,dark roast k-cup,14,False,,KDP_SKU_1065,3.0,
EVT_c0e44cff,search_query_submitted,2026-07-03 19:03:00,SES_459bbf7186,USR_25704,mobile,Control_Keyword,kcup pods discount,11,False,391.0,,,
EVT_bbc084fd,search_result_clicked,2026-07-03 19:03:08,SES_459bbf7186,USR_25704,mobile,Control_Keyword,kcup pods discount,11,False,,KDP_SKU_1051,4.0,
EVT_d4b9afeb,search_query_submitted,2026-07-03 19:04:00,SES_ec8b2d7993,USR_18178,mobile,Control_Keyword,cherry vanilla soda,17,False,289.0,,,
EVT_46ef0852,search_result_clicked,2026-07-03 19:04:07,SES_ec8b2d7993,USR_18178,mobile,Control_Keyword,cherry vanilla soda,17,False,,KDP_SKU_1021,7.0,
EVT_7d13001c,search_to_cart_added,2026-07-03 19:04:23,SES_ec8b2d7993,USR_18178,mobile,Control_Keyword,cherry vanilla soda,17,False,,KDP_SKU_1021,7.0,41.45
EVT_0501af4c,search_query_submitted,2026-07-03 19:36:00,SES_d34f5492bd,USR_96169,mobile,Control_Keyword,dark roast k-cup,8,False,256.0,,,
EVT_6313e204,search_result_clicked,2026-07-03 19:36:05,SES_d34f5492bd,USR_96169,mobile,Control_Keyword,dark roast k-cup,8,False,,KDP_SKU_1010,5.0,
EVT_aea01022,search_query_submitted,2026-07-03 20:31:00,SES_3b1fc0aa8e,USR_93859,desktop,Control_Keyword,cherry vanilla soda,18,False,646.0,,,
EVT_4b968a3d,search_result_clicked,2026-07-03 20:31:05,SES_3b1fc0aa8e,USR_93859,desktop,Control_Keyword,cherry vanilla soda,18,False,,KDP_SKU_1067,5.0,
EVT_2ee27423,search_to_cart_added,2026-07-03 20:31:24,SES_3b1fc0aa8e,USR_93859,desktop,Control_Keyword,cherry vanilla soda,18,False,,KDP_SKU_1067,5.0,16.07
EVT_2ee8e4bb,search_query_submitted,2026-07-03 21:11:00,SES_b24ffc9bfc,USR_92208,tablet,Variant_B_AI_Semantic,snapple peach tea diet,37,False,185.0,,,
EVT_b06b026a,search_result_clicked,2026-07-03 21:11:13,SES_b24ffc9bfc,USR_92208,tablet,Variant_B_AI_Semantic,snapple peach tea diet,37,False,,KDP_SKU_1024,3.0,
EVT_b80f52c9,search_to_cart_added,2026-07-03 21:11:52,SES_b24ffc9bfc,USR_92208,tablet,Variant_B_AI_Semantic,snapple peach tea diet,37,False,,KDP_SKU_1024,3.0,12.83
EVT_388eb6a2,search_query_submitted,2026-07-03 21:13:00,SES_7417faf4b6,USR_75494,mobile,Control_Keyword,dark roast k-cup,3,False,353.0,,,
EVT_572d1c78,search_query_submitted,2026-07-03 22:45:00,SES_ab7fe63499,USR_62513,tablet,Control_Keyword,dr pepper zero sugar 12oz,24,False,485.0,,,
EVT_de204434,search_query_submitted,2026-07-04 04:10:00,SES_10a5e64e85,USR_86379,tablet,Variant_B_AI_Semantic,cherry vanilla soda,16,False,155.0,,,
EVT_a973c13c,search_result_clicked,2026-07-04 04:10:03,SES_10a5e64e85,USR_86379,tablet,Variant_B_AI_Semantic,cherry vanilla soda,16,False,,KDP_SKU_1020,1.0,
EVT_1c8af39a,search_query_submitted,2026-07-04 07:03:00,SES_683b6245b6,USR_99441,desktop,Control_Keyword,vanilla flavored coffee,20,False,245.0,,,
EVT_a78097b2,search_query_submitted,2026-07-04 07:32:00,SES_830a228191,USR_56041,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,27,False,101.0,,,
EVT_61b06366,search_result_clicked,2026-07-04 07:32:03,SES_830a228191,USR_56041,desktop,Variant_B_AI_Semantic,espresso pods hazelnut,27,False,,KDP_SKU_1032,1.0,
